Name,Total Occurrences,Books Found In
drinketh unworthily,1,"1_corinthians"
driveth God,1,"deuteronomy"
Drop,1,"isaias"
Drusilla,1,"acts"
Duel,1,"numbers"
duke Ana,1,"genesis"
Duke Cenez,1,"genesis"
Duke Core,1,"genesis"
Duke Dison,1,"genesis"
duke Mabsar,1,"genesis"
Duke Magdiel,1,"genesis"
Duke Oolibama,1,"genesis"
Duma,2,"genesis;isaias"
dwelleth

1242,1,"psalms"
Edema,1,"josue"
Edom,5,"4_kings;ezechiel;genesis;isaias"
Edomite,1,"deuteronomy"
Edrai,3,"deuteronomy;josue;numbers"
Eglon,1,"judges"
Ela,6,"3_kings;4_kings;genesis"
Elath,2,"4_kings;deuteronomy"
Eleazar,1,"numbers"
Electa,1,"1_john"
Elehanan,1,"2_kings"
Eleph,1,"josue"
Eliab,2,"1_kings;numbers"
Eliacim,6,"4_kings;isaias;matthew"
Eliakim,1,"luke"
Eliam,2,"2_kings"
Elias,24,"3_kings;4_kings;apocalypse;ecclesiasticus;james;john;luke;mark;matthew;romans"
Elidad,1,"numbers"
Eliezer,3,"exodus;luke"
Elihoreph,1,"3_kings"
Elimelech,1,"ruth"
Elisa,1,"ezechiel"
Elisama,5,"jeremias;numbers"
Eliseus,12,"3_kings;4_kings;ecclesiasticus;luke"
Elmodad,1,"genesis"
Elnathan,1,"jeremias"
Eloi,1,"mark"
Eltholad,2,"josue"
Emath,13,"3_kings;4_kings;ezechiel;isaias;jeremias;josue;numbers"
Emmanuel,2,"isaias;matthew"
Emmaus,1,"luke"
Emor,1,"judges"
Emptied,1,"philippians"
Eneas,1,"acts"
Engaddi,3,"1_kings;canticle_of_canticles;josue"
Ennom,4,"4_kings;jeremias;josue"
Enoch,2,"ecclesiasticus;jude"
Enos,3,"genesis"
entereth far,1,"deuteronomy"
Envy,1,"ecclesiasticus"
Epenetus,1,"romans"
Epha,1,"genesis"
Epher,1,"3_kings"
Ephesus,14,"1_corinthians;1_timothy;2_corinthians;2_thessalonians;2_timothy;acts;apocalypse;ephesians;galatians;romans"
Ephpheta,1,"mark"
Ephra,3,"1_kings;judges"
Ephraim,38,"2_kings;3_kings;4_kings;deuteronomy;ecclesiasticus;ezechiel;genesis;isaias;jeremias;josue;judges;numbers;psalms"
Ephraim Manasses,1,"isaias"
Ephraimite,1,"judges"
Ephrathite,1,"1_kings"
Ephrem,1,"john"
Ephron,1,"genesis"
Epiphanes,1,"daniel"
Epistle,1,"1_corinthians"
Epistles,3,"2_peter;acts;colossians"
Erastus,1,"acts"
Esau,1,"genesis"
Esdras,2,"4_kings;wisdom"
Esem,1,"josue"
Eser,1,"genesis"
Esron,4,"josue;luke;matthew;ruth"
Estemo,1,"josue"
Etam,1,"judges"
Ethai,2,"2_kings"
Ethai the Gethite,1,"2_kings"
Etham,2,"exodus;numbers"
Ethan,2,"3_kings;psalms"
Ether,1,"josue"
Eunice,1,"2_timothy"
Eutychus,1,"acts"
Evangelist,1,"luke"
Eve,3,"1_timothy;2_corinthians;genesis"
Evi,1,"numbers"
Exaudi Deus,1,"psalms"
excuseth Jacob,1,"genesis"
executeth judgment,1,"jeremias"
exinanivit,1,"philippians"
Extol,2,"ecclesiasticus"
Exultate,1,"psalms"
Ezechias,11,"4_kings;ecclesiasticus;isaias;psalms"
Ezechiel,4,"ecclesiasticus;ezechiel;psalms"
