Name,Total Occurrences,Books Found In
St Augustine,5,"apocalypse;genesis;matthew;psalms"
St Joseph,1,"luke"
St Luke,2,"john;mark"
St Luke 1,1,"matthew"
St Luke 10 16,1,"matthew"
St Luke 11,1,"matthew"
St Luke 22,1,"matthew"
St Mark 14,1,"matthew"
St Matt,1,"romans"
St Michael,1,"josue"
St Paul,4,"1_timothy;2_timothy;galatians;philippians"
St Peter,1,"matthew"
standeth daily,1,"hebrews"
Stephen,3,"acts"
Sthur,1,"numbers"
sticketh fast,1,"ecclesiasticus"
Stretch,3,"ecclesiasticus;mark;matthew"
Sua,1,"4_kings"
Sue,2,"genesis"
Suham,1,"numbers"
Sunam,1,"4_kings"
Sunamitess,4,"3_kings;4_kings"
Sunem,1,"josue"
Suni,1,"genesis"
Supersubstantial,1,"matthew"
Suph,1,"1_kings"
Supham,1,"numbers"
Suriel,1,"numbers"
Surround Sion,1,"psalms"
Susanna,2,"daniel;luke"
Suthala,1,"numbers"
Suthalaites,1,"numbers"
sweareth much,1,"ecclesiasticus"
sweareth truth,1,"ecclesiastes"
sword,4,"1_kings;ezechiel;josue"
Sword,1,"jeremias"
Syene,1,"ezechiel"
Taberah,1,"numbers"
Tabitha,1,"acts"
Take Mark,1,"2_timothy"
Take Micheas,1,"3_kings"
Taketh Zebee,1,"judges"
Tarry,3,"2_kings;ecclesiasticus;numbers"
Tarsus,1,"acts"
tasteth venison,1,"ecclesiasticus"
Tau,1,"ezechiel"
telleth Andrew,1,"john"
telleth the king,1,"4_kings"
Tertius,1,"romans"
Thahath,1,"numbers"
Thalassa,1,"acts"
Thamar,3,"2_kings;genesis;ruth"
Thamna,1,"genesis"
Thamnas,1,"genesis"
Thamnath Saraa,1,"josue"
Thamnathite,1,"judges"
Thanath,1,"josue"
Thau,1,"ezechiel"
the Galilee,1,"isaias"
the Holy Ghost,9,"1_corinthians;1_john;2_peter;acts;mark"
the Holy Spirit,1,"numbers"
the King,1,"john"
the King of Glory,1,"psalms"
the King of Jacob,1,"isaias"
the King the Lord,1,"isaias"
the Lamb of God,1,"john"
Thebni,1,"3_kings"
Theman,2,"genesis;jeremias"
thenceforward,1,"numbers"
Therefore David,1,"1_kings"
Therefore Michol,1,"2_kings"
Therefore Saul,1,"1_kings"
Thiras,1,"genesis"
this King of Glory,1,"psalms"
Thither,1,"deuteronomy"
Thomas,8,"acts;john;luke;mark;matthew"
Thophel,1,"deuteronomy"
thou comfort,1,"psalms"
thou knewest,2,"matthew;psalms"
thou shalt,2,"deuteronomy;ezechiel"
threefold cord,1,"ecclesiastes"
Thrice,1,"2_corinthians"
Thummim,1,"exodus"
thy
brethren,1,"genesis"
thy brethren,1,"ezechiel"
thy brothel house,1,"ezechiel"
thy Creator,1,"ecclesiastes"
thy Holy
One,1,"acts"
thy masters,1,"2_kings"
Thyatira,2,"apocalypse"
Tim,1,"psalms"
Timon,1,"acts"
Timothy,19,"1_corinthians;1_thessalonians;1_timothy;2_corinthians;2_thessalonians;2_timothy;acts;colossians;hebrews;philemon;philippians"
Timothy and,1,"acts"
Titles,1,"exodus"
Titus Justus,1,"acts"
Torrent,1,"isaias"
Trophimus,2,"2_timothy;acts"
Tryphaena,1,"romans"
tuo,1,"psalms"
Tyre,4,"acts;ezechiel;isaias;psalms"
Uncle,1,"judges"
understandeth time,1,"ecclesiastes"
Urbanus,1,"romans"
Uri,4,"3_kings;exodus"
Urim,1,"exodus"
Uzal,1,"genesis"
Vapsi,1,"numbers"
VEELLE,1,"genesis"
Virgin,2,"matthew;numbers"
Virgin Mary,1,"matthew"
Viri,1,"jeremias"
Virtues,1,"1_peter"
Vomens,1,"proverbs"
Wash,1,"4_kings"
watchman,1,"isaias"
Watchman,1,"isaias"
wherein,5,"3_kings;colossians;exodus;ezechiel;john"
Wherein,1,"colossians"
wherein fig,1,"deuteronomy"
wherein thou,2,"exodus;genesis"
Whereof,2,"colossians;wisdom"
whereof southward,1,"exodus"
Whereupon Joseph,1,"matthew"
Whom,3,"acts;matthew"
Whom Jason,1,"acts"
Whom Moses,1,"numbers"
Witham,1,"luke"
Woe,11,"apocalypse;ezechiel;isaias;jeremias;luke;psalms"
wolf,3,"ecclesiasticus;genesis;isaias"
worketh death,1,"2_corinthians"
worketh miracles,1,"galatians"
worketh patience,1,"james"
worketh pride,1,"proverbs"
Zacharias,8,"4_kings;isaias;luke;matthew;psalms"
Zachary,1,"luke"
Zacheus,1,"luke"
Zain,4,"lamentations"
Zambri,3,"3_kings;4_kings;numbers"
Zaphnah,1,"genesis"
Zara,4,"genesis;matthew"
Zared,1,"deuteronomy"
Zavan,1,"genesis"
Zebedee,9,"john;luke;mark;matthew"
Zebee,2,"judges;psalms"
Zebida,1,"4_kings"
Zechur,1,"numbers"
Zelpha,5,"genesis"
Zenas,1,"titus"
Zio,1,"3_kings"
Ziph,4,"1_kings;josue;psalms"
Zorobabel,1,"matthew"
